Alignment not found |  ,  | Line no.  1
label .01 or .02 does not exist for the predicate. 1735
Alignment not found |  ;  | Line no.  1735
Alignment not found |  in  | Line no.  1736
Alignment not found |  the  | Line no.  1736
Alignment not found |  of  | Line no.  1736
Alignment not found |  ;  | Line no.  1736
Alignment not found |  of  | Line no.  1738
Alignment not found |  ,  | Line no.  1738
Alignment not found |  for  | Line no.  1739
Alignment not found |  ,  | Line no.  1739
Alignment not found |  ,  | Line no.  1739
Alignment not found |  ,  | Line no.  1740
Alignment not found |  ,  | Line no.  1741
Alignment not found |  ,  | Line no.  1743
Alignment not found |  ”  | Line no.  1743
Alignment not found |  the  | Line no.  1744
Alignment not found |  ,  | Line no.  1744
Alignment not found |  of  | Line no.  1746
Alignment not found |  ,  | Line no.  1747
Alignment not found |  ;  | Line no.  1748
Alignment not found |  ,  | Line no.  1751
Alignment not found |  ”  | Line no.  1751
Alignment not found |  ,  | Line no.  1752
Alignment not found |  ,  | Line no.  1752
Alignment not found |  :  | Line no.  1753
Alignment not found |  ,  | Line no.  1753
Alignment not found |  from  | Line no.  1754
Alignment not found |  the  | Line no.  1754
Alignment not found |  ”  | Line no.  1754
Alignment not found |  of  | Line no.  1755
Alignment not found |  .  | Line no.  1755
Alignment not found |  .  | Line no.  1758
Alignment not found |  ”  | Line no.  1758
Alignment not found |  ,  | Line no.  1759
Alignment not found |  ,  | Line no.  1760
Alignment not found |  .  | Line no.  1761
Alignment not found |  ,  | Line no.  1762
Alignment not found |  the  | Line no.  1763
Alignment not found |  ;  | Line no.  1763
Alignment not found |  ,  | Line no.  1764
Alignment not found |  ,  | Line no.  1764
Alignment not found |  ,  | Line no.  1765
Alignment not found |  ;  | Line no.  1765
Alignment not found |  ,  | Line no.  1767
Alignment not found |  ;  | Line no.  1767
Alignment not found |  ,  | Line no.  1768
Alignment not found |  ;  | Line no.  1769
Alignment not found |  the  | Line no.  1770
Alignment not found |  ,  | Line no.  1770
Alignment not found |  as  | Line no.  1771
Alignment not found |  did  | Line no.  1772
Alignment not found |  ,  | Line no.  1773
Alignment not found |  ”  | Line no.  1773
Alignment not found |  ”  | Line no.  1774
Alignment not found |  .  | Line no.  1775
Alignment not found |  ,  | Line no.  1781
Alignment not found |  ,  | Line no.  1781
Alignment not found |  ban2  | Line no.  1782
Alignment not found |  ,  | Line no.  1782
Alignment not found |  ,  | Line no.  1782
Alignment not found |  ,  | Line no.  1782
Alignment not found |  ,  | Line no.  1783
Alignment not found |  for  | Line no.  1784
Alignment not found |  ,  | Line no.  1784
Alignment not found |  ,  | Line no.  1784
Alignment not found |  to  | Line no.  1784
Alignment not found |  ,  | Line no.  1785
Alignment not found |  ,  | Line no.  1785
Alignment not found |  ban2  | Line no.  1786
Alignment not found |  ,  | Line no.  1786
Alignment not found |  ,  | Line no.  1786
Alignment not found |  ,  | Line no.  1786
Alignment not found |  ,  | Line no.  1787
Alignment not found |  for  | Line no.  1788
Alignment not found |  ;  | Line no.  1788
Alignment not found |  ,  | Line no.  1789
Alignment not found |  ,  | Line no.  1789
Alignment not found |  ,  | Line no.  1790
Alignment not found |  ,  | Line no.  1790
Alignment not found |  ,  | Line no.  1791
Alignment not found |  for  | Line no.  1792
Alignment not found |  ,  | Line no.  1792
Alignment not found |  ,  | Line no.  1792
Alignment not found |  to  | Line no.  1792
Alignment not found |  ,  | Line no.  1793
Alignment not found |  ban2  | Line no.  1793
Alignment not found |  ;  | Line no.  1793
Alignment not found |  ;  | Line no.  1794
Alignment not found |  ;  | Line no.  1794
Alignment not found |  ban2  | Line no.  1795
Alignment not found |  ;  | Line no.  1795
Alignment not found |  ;  | Line no.  1795
Alignment not found |  ;  | Line no.  1796
Alignment not found |  ;  | Line no.  1796
Alignment not found |  ,  | Line no.  1797
Alignment not found |  ban2  | Line no.  1800
Alignment not found |  for  | Line no.  1802
Alignment not found |  ,  | Line no.  1803
Alignment not found |  ;  | Line no.  1803
Alignment not found |  ban2  | Line no.  1804
Alignment not found |  for  | Line no.  1806
Alignment not found |  ,  | Line no.  1807
Alignment not found |  ;  | Line no.  1807
Alignment not found |  ,  | Line no.  1808
Alignment not found |  ”  | Line no.  1808
Alignment not found |  ,  | Line no.  1809
Alignment not found |  ,  | Line no.  1809
Alignment not found |  ,  | Line no.  1810
Alignment not found |  ,  | Line no.  1812
Alignment not found |  ,  | Line no.  1813
Alignment not found |  ,  | Line no.  1814
Alignment not found |  ,  | Line no.  1815
Alignment not found |  ,  | Line no.  1816
Alignment not found |  ,  | Line no.  1816
Alignment not found |  ban2  | Line no.  1817
Alignment not found |  ,  | Line no.  1817
Alignment not found |  ,  | Line no.  1817
Alignment not found |  ,  | Line no.  1817
Alignment not found |  ,  | Line no.  1818
Alignment not found |  ,  | Line no.  1818
Alignment not found |  for  | Line no.  1819
Alignment not found |  ,  | Line no.  1819
Alignment not found |  to  | Line no.  1819
Alignment not found |  the  | Line no.  1819
Alignment not found |  ,  | Line no.  1820
Alignment not found |  ,  | Line no.  1820
Alignment not found |  ban2  | Line no.  1821
Alignment not found |  ,  | Line no.  1821
Alignment not found |  ,  | Line no.  1821
Alignment not found |  ,  | Line no.  1821
Alignment not found |  ,  | Line no.  1822
Alignment not found |  ,  | Line no.  1822
Alignment not found |  for  | Line no.  1823
Alignment not found |  ;  | Line no.  1823
Alignment not found |  ,  | Line no.  1824
Alignment not found |  the  | Line no.  1825
Alignment not found |  .  | Line no.  1825
Alignment not found |  ”  | Line no.  1825
Alignment not found |  ,  | Line no.  1827
Alignment not found |  ,  | Line no.  1827
Alignment not found |  in  | Line no.  1828
Alignment not found |  the  | Line no.  1828
Alignment not found |  ,  | Line no.  1828
Alignment not found |  ,  | Line no.  1830
Alignment not found |  ;  | Line no.  1831
Alignment not found |  .  | Line no.  1832
Alignment not found |  ”  | Line no.  1832
Alignment not found |  as  | Line no.  1833
Alignment not found |  of  | Line no.  1833
Alignment not found |  ,  | Line no.  1833
Alignment not found |  of  | Line no.  1834
Alignment not found |  ,  | Line no.  1834
Alignment not found |  of  | Line no.  1835
Alignment not found |  ,  | Line no.  1835
Alignment not found |  of  | Line no.  1836
Alignment not found |  ,  | Line no.  1836
Alignment not found |  of  | Line no.  1837
Alignment not found |  .  | Line no.  1837
Alignment not found |  ,  | Line no.  1839
Alignment not found |  .  | Line no.  1840
Alignment not found |  ,  | Line no.  1841
Alignment not found |  .  | Line no.  1842
Alignment not found |  ;  | Line no.  1853
Alignment not found |  ,  | Line no.  1855
label .01 or .02 does not exist for the predicate. 1856
Alignment not found |  of  | Line no.  1856
Alignment not found |  ;  | Line no.  1857
Alignment not found |  .  | Line no.  1858
Alignment not found |  ”  | Line no.  1858
Alignment not found |  ,  | Line no.  1859
Alignment not found |  ,  | Line no.  1862
Alignment not found |  ”  | Line no.  1863
Alignment not found |  in  | Line no.  1864
Alignment not found |  the  | Line no.  1864
Alignment not found |  ,  | Line no.  1864
Alignment not found |  ,  | Line no.  1866
Alignment not found |  .  | Line no.  1867
Alignment not found |  ,  | Line no.  1870
Alignment not found |  ,  | Line no.  1871
Alignment not found |  ,  | Line no.  1871
Alignment not found |  the  | Line no.  1872
Alignment not found |  ;  | Line no.  1872
Alignment not found |  ,  | Line no.  1873
Alignment not found |  ”  | Line no.  1873
Alignment not found |  of  | Line no.  1874
Alignment not found |  ,  | Line no.  1874
Alignment not found |  ;  | Line no.  1874
Alignment not found |  ”  | Line no.  1874
Alignment not found |  ,  | Line no.  1875
Alignment not found |  ,  | Line no.  1877
Alignment not found |  ,  | Line no.  1877
Alignment not found |  and  | Line no.  1877
Alignment not found |  ;  | Line no.  1877
Alignment not found |  of  | Line no.  1878
Alignment not found |  the  | Line no.  1878
Alignment not found |  ,  | Line no.  1878
Alignment not found |  ;  | Line no.  1879
Alignment not found |  ”  | Line no.  1879
Alignment not found |  ,  | Line no.  1880
Alignment not found |  ,  | Line no.  1882
Alignment not found |  ,  | Line no.  1882
Alignment not found |  and  | Line no.  1882
Alignment not found |  ;  | Line no.  1882
Alignment not found |  of  | Line no.  1883
Alignment not found |  the  | Line no.  1883
Alignment not found |  ,  | Line no.  1883
Alignment not found |  ;  | Line no.  1884
Alignment not found |  ”  | Line no.  1884
Alignment not found |  for  | Line no.  1887
Alignment not found |  ,  | Line no.  1887
Alignment not found |  ,  | Line no.  1887
Alignment not found |  ;  | Line no.  1887
Alignment not found |  ban2  | Line no.  1888
Alignment not found |  ,  | Line no.  1888
Alignment not found |  ,  | Line no.  1888
Alignment not found |  ;  | Line no.  1888
Alignment not found |  ;  | Line no.  1889
Alignment not found |  ,  | Line no.  1890
Alignment not found |  ;  | Line no.  1890
Alignment not found |  the  | Line no.  1891
Alignment not found |  day  | Line no.  1891
Alignment not found |  stretched  | Line no.  1891
Alignment not found |  one  | Line no.  1891
Alignment not found |  of  | Line no.  1893
Alignment not found |  the  | Line no.  1893
Alignment not found |  ,  | Line no.  1894
Alignment not found |  ;  | Line no.  1894
Alignment not found |  ,  | Line no.  1899
Alignment not found |  ;  | Line no.  1899
Alignment not found |  ;  | Line no.  1900
Alignment not found |  ,  | Line no.  1901
Alignment not found |  ;  | Line no.  1901
Alignment not found |  ;  | Line no.  1902
Alignment not found |  ban2  | Line no.  1904
Alignment not found |  of  | Line no.  1905
Alignment not found |  the  | Line no.  1905
Alignment not found |  account  | Line no.  1905
Alignment not found |  ,  | Line no.  1905
Alignment not found |  ,  | Line no.  1906
Alignment not found |  ,  | Line no.  1907
Alignment not found |  ;  | Line no.  1907
Alignment not found |  ”  | Line no.  1907
Alignment not found |  gur  | Line no.  1908
Alignment not found |  barig  | Line no.  1908
Alignment not found |  ban2  | Line no.  1908
Alignment not found |  the  | Line no.  1909
Alignment not found |  ,  | Line no.  1909
Alignment not found |  ,  | Line no.  1910
Alignment not found |  of  | Line no.  1910
Alignment not found |  the  | Line no.  1910
Alignment not found |  ;  | Line no.  1910
Alignment not found |  ban2  | Line no.  1911
Alignment not found |  ;  | Line no.  1912
Alignment not found |  ;  | Line no.  1915
Alignment not found |  gur  | Line no.  1916
Alignment not found |  barig  | Line no.  1916
Alignment not found |  ban2  | Line no.  1916
Alignment not found |  gur  | Line no.  1917
Alignment not found |  barig  | Line no.  1917
Alignment not found |  ban2  | Line no.  1917
Alignment not found |  ,  | Line no.  1918
Alignment not found |  ;  | Line no.  1918
Alignment not found |  ;  | Line no.  1919
Alignment not found |  ;  | Line no.  1920
Alignment not found |  ;  | Line no.  1921
Alignment not found |  of  | Line no.  1922
Alignment not found |  the  | Line no.  1923
Alignment not found |  of  | Line no.  1923
Alignment not found |  ,  | Line no.  1923
Alignment not found |  of  | Line no.  1923
Alignment not found |  ;  | Line no.  1923
Alignment not found |  ,  | Line no.  1924
Alignment not found |  ”  | Line no.  1924
Alignment not found |  ;  | Line no.  1925
Alignment not found |  ”  | Line no.  1925
Alignment not found |  of  | Line no.  1926
Alignment not found |  ;  | Line no.  1926
Alignment not found |  ,  | Line no.  1928
Alignment not found |  ,  | Line no.  1940
Alignment not found |  ,  | Line no.  1940
Alignment not found |  ,  | Line no.  1941
Alignment not found |  ,  | Line no.  1941
Alignment not found |  ,  | Line no.  1942
Alignment not found |  ,  | Line no.  1942
Alignment not found |  ,  | Line no.  1943
Alignment not found |  ,  | Line no.  1943
Alignment not found |  ;  | Line no.  1944
Alignment not found |  ,  | Line no.  1945
Alignment not found |  ,  | Line no.  1945
Alignment not found |  ,  | Line no.  1946
Alignment not found |  ,  | Line no.  1946
Alignment not found |  ,  | Line no.  1947
Alignment not found |  ,  | Line no.  1947
Alignment not found |  ;  | Line no.  1948
Alignment not found |  at  | Line no.  1949
Alignment not found |  3  | Line no.  1949
Alignment not found |  ,  | Line no.  1949
Alignment not found |  from  | Line no.  1950
Alignment not found |  ,  | Line no.  1950
Alignment not found |  ”  | Line no.  1950
Alignment not found |  to  | Line no.  1951
Alignment not found |  of  | Line no.  1951
Alignment not found |  ”  | Line no.  1951
Alignment not found |  ;  | Line no.  1951
Alignment not found |  ,  | Line no.  1952
Alignment not found |  ,  | Line no.  1952
Alignment not found |  barig  | Line no.  1952
Alignment not found |  ,  | Line no.  1952
Alignment not found |  ,  | Line no.  1953
Alignment not found |  ,  | Line no.  1953
